minute_from_start,segment_index,second,t_sec,rr_ms,spo2_pct,label_1m,label_30s,rr_samples_in_minute,spo2_samples_in_minute
0,2,0,0,945.5906372839108,96.9985503929198,0,0,316,15000
0,2,1,1,946.3071166042985,96.31490959029526,0,0,316,15000
0,2,2,2,959.6943948983062,95.98992904554817,0,0,316,15000
0,2,3,3,959.8080001532286,95.98992904554817,0,0,316,15000
0,2,4,4,949.4714139860796,95.98992904554817,0,0,316,15000
0,2,5,5,933.8310086867332,96.67305104142824,0,0,316,15000
0,2,6,6,935.545138892423,96.9985503929198,0,0,316,15000
0,2,7,7,939.2300117638896,96.9985503929198,0,0,316,15000
0,2,8,8,944.1629526839919,96.9985503929198,0,0,316,15000
0,2,9,9,955.0803819750769,96.9985503929198,0,0,316,15000
0,2,10,10,956.0878456937729,96.9985503929198,0,0,316,15000
0,2,11,11,949.6736353258749,96.9985503929198,0,0,316,15000
0,2,12,12,949.2573672829521,96.9985503929198,0,0,316,15000
0,2,13,13,960.3886541845043,96.9985503929198,0,0,316,15000
0,2,14,14,956.8864135561711,96.9985503929198,0,0,316,15000
0,2,15,15,946.9334500670687,96.9985503929198,0,0,316,15000
0,2,16,16,948.8155824194451,96.9985503929198,0,0,316,15000
0,2,17,17,974.974922534866,96.9985503929198,0,0,316,15000
0,2,18,18,967.8536233604855,96.9985503929198,0,0,316,15000
0,2,19,19,971.1631606774517,96.9985503929198,0,0,316,15000
0,2,20,20,976.2346118657977,96.9985503929198,0,0,316,15000
0,2,21,21,977.6024817088426,96.9985503929198,0,0,316,15000
0,2,22,22,965.6956273590348,96.9985503929198,0,0,316,15000
0,2,23,23,972.8258793421871,96.9985503929198,0,0,316,15000
0,2,24,24,980.0581885208118,96.9985503929198,0,0,316,15000
0,2,25,25,966.6158356469593,96.9985503929198,0,0,316,15000
0,2,26,26,969.945153750217,96.9985503929198,0,0,316,15000
0,2,27,27,955.0198794184628,96.31750972762646,0,0,316,15000
0,2,28,28,863.5250828279553,95.98992904554817,0,0,316,15000
0,2,29,29,876.2526597038459,95.98992904554817,0,0,316,15000
0,2,30,30,822.1392617319053,95.71743343251697,0,0,316,15000
0,2,31,31,782.8486104465753,95.86579385061417,0,0,316,15000
0,2,32,32,854.3650939808003,95.98992904554817,0,0,316,15000
0,2,33,33,886.2858755094294,95.98992904554817,0,0,316,15000
0,2,34,34,897.4291089584312,96.73982452124818,0,0,316,15000
0,2,35,35,949.8939945092276,97.98886091401542,0,0,316,15000
0,2,36,36,949.9238434299116,97.98886091401542,0,0,316,15000
0,2,37,37,963.2317576397801,97.98886091401542,0,0,316,15000
0,2,38,38,972.2788809189808,97.98886091401542,0,0,316,15000
0,2,39,39,963.2192732796227,97.98886091401542,0,0,316,15000
0,2,40,40,963.1941562995507,97.98886091401542,0,0,316,15000
0,2,41,41,970.2272765718618,97.98886091401542,0,0,316,15000
0,2,42,42,960.6323176908405,97.98886091401542,0,0,316,15000
0,2,43,43,968.2530971449636,97.98886091401542,0,0,316,15000
0,2,44,44,972.1736191119132,97.98886091401542,0,0,316,15000
0,2,45,45,957.1840865708765,97.98886091401542,0,0,316,15000
0,2,46,46,968.8211718350146,97.98886091401542,0,0,316,15000
0,2,47,47,969.2359112451186,97.32274967574577,0,0,316,15000
0,2,48,48,943.0948141254374,96.9985503929198,0,0,316,15000
0,2,49,49,927.5332326775299,96.9985503929198,0,0,316,15000
0,2,50,50,886.0946607637455,96.9985503929198,0,0,316,15000
0,2,51,51,950.6759367973018,96.9985503929198,0,0,316,15000
0,2,52,52,964.5216609730008,96.72427252613106,0,0,316,15000
0,2,53,53,972.1624782123512,95.98992904554817,0,0,316,15000
0,2,54,54,980.986234410534,96.26375524528878,0,0,316,15000
0,2,55,55,942.1924904773845,96.99745174334323,0,0,316,15000
0,2,56,56,934.2358920556535,96.99745174334323,0,0,316,15000
0,2,57,57,945.6066922508171,96.9974151216907,0,0,316,15000
0,2,58,58,958.9892653629931,96.99752498664834,0,0,316,15000
0,2,59,59,998.0201123295501,96.99745174334323,0,0,316,15000
1,3,0,60,947.65521353217,96.9985503929198,0,0,318,15000
1,3,1,61,959.2125144112337,96.9985503929198,0,0,318,15000
1,3,2,62,956.8864135561696,96.9985503929198,0,0,318,15000
1,3,3,63,946.9334500670684,96.9985503929198,0,0,318,15000
1,3,4,64,948.8155824194442,96.9985503929198,0,0,318,15000
1,3,5,65,974.9749225348672,96.9985503929198,0,0,318,15000
1,3,6,66,967.8536233604849,96.9985503929198,0,0,318,15000
1,3,7,67,971.1631606774547,96.9985503929198,0,0,318,15000
1,3,8,68,979.7812915813054,96.9985503929198,0,0,318,15000
1,3,9,69,977.6024817088455,96.9985503929198,0,0,318,15000
1,3,10,70,965.6956273590336,96.9985503929198,0,0,318,15000
1,3,11,71,972.8258793421871,96.9985503929198,0,0,318,15000
1,3,12,72,980.0581885208118,96.9985503929198,0,0,318,15000
1,3,13,73,968.2327893677207,96.9985503929198,0,0,318,15000
1,3,14,74,968.6706729059522,96.9985503929198,0,0,318,15000
1,3,15,75,955.0198794184656,96.31750972762646,0,0,318,15000
1,3,16,76,866.301284975274,95.98992904554817,0,0,318,15000
1,3,17,77,869.820695837393,95.98992904554817,0,0,318,15000
1,3,18,78,816.9626188023642,95.71743343251697,0,0,318,15000
1,3,19,79,782.848610446578,95.86579385061417,0,0,318,15000
1,3,20,80,864.8936596405434,95.98992904554817,0,0,318,15000
1,3,21,81,880.0357530234608,95.98992904554817,0,0,318,15000
1,3,22,82,897.4291089584312,96.73982452124818,0,0,318,15000
1,3,23,83,949.873920159348,97.98886091401542,0,0,318,15000
1,3,24,84,950.944349630177,97.98886091401542,0,0,318,15000
1,3,25,85,964.9028932854804,97.98886091401542,0,0,318,15000
1,3,26,86,973.2718470621506,97.98886091401542,0,0,318,15000
1,3,27,87,957.6160416063942,97.98886091401542,0,0,318,15000
